Emri,Cmimi aktual,Cmimi i vjeter
Celular Samsung Galaxy A35 5G Dual 256GB SM-A356B Black,"37,990","39,990"
Celular Samsung Galaxy A55 5G Dual 128GB SM-A556B Black,"38,990","42,990"
Samsung Galaxy Watch 7 BT 44mm SM-L310 Green,"38,990","38,990"
Samsung Galaxy Watch 7 BT 44mm SM-L310 Silver,"38,990","38,990"
"Tablet Samsung Galaxy Tab S6 Lite SM-P619N 10.4"" LTE Grey SO","39,990","49,990"
Apple Watch Series 7 45mm 3j562z/a Starlight,"41,990","41,990"
"Apple iPad Wifi 10.9"" (10th) 64GB mpq03hc/a Silver","43,990","67,990"
"Apple iPad Wifi 10.9"" (10th) 64GB mpq13hc/a Blue","45,990","67,990"
Apple iPhone SE 64GB mhgr3se/a Red,"47,990","47,990"
Apple iPhone SE 128GB mhgu3se/a White,"49,990","49,990"
Celular Samsung Galaxy A55 5G Dual 256GB SM-A556B Black,"49,990","49,990"
Apple Watch Series 9 GPS 41mm mr8v3se/a Starlight,"51,990","51,990"
Apple Watch Series 9 GPS 41mm mr8x3se/a Midnight,"51,990","51,990"
Apple iPhone 12 64GB mgj63se/a White,"54,990","76,990"
Celular Samsung Galaxy S23 FE 128GB SM-S711B Graphite SO,"54,990","64,990"
Celular Samsung Galaxy S23 FE 128GB SM-S711B Mint SO,"54,990","64,990"
Celular Samsung Galaxy Z Flip3 SM-F711B Cream SO,"59,990","69,990"
Celular Samsung Galaxy S23 128GB SM-S911B Black SO,"59,990","79,990"
Celular Samsung Galaxy S23 128GB SM-S911B Green SO,"59,990","79,990"
"Apple iPad 9 Wifi + Celular 10.2"" 64GB mk493hc/a Silver","62,990","74,990"
Samsung Galaxy Watch Ultra LTE 47mm SM-L705 Dark Grey,"68,990","68,990"
Samsung Galaxy Watch Ultra LTE 47mm SM-L705 White,"68,990","68,990"
Celular Samsung Galaxy S24 5G 128GB SM-S921B Onyx Black,"69,990","88,990"
Celular Samsung Galaxy S24 5G 128GB SM-S921B Amber Yellow,"73,990","88,990"
Celular Samsung Galaxy Z Fold3 SM-F926B Black SO,"79,990","119,990"
Celular Samsung Galaxy Z Fold3 SM-F926B Silver SO,"79,990","119,990"
Apple iPhone 14 128GB 3l238z/a Blue,"79,990","99,990"
Apple iPhone 14 128GB mpvn3sx/a Blue,"79,990","99,990"
Celular Samsung Galaxy S24 5G 256GB SM-S921B Amber Yellow,"80,990","93,990"
Celular Samsung Galaxy S24 5G 256GB SM-S921B Cobalt Violet,"80,990","93,990"
Celular Samsung Galaxy S24 5G 256GB SM-S921B Marble Gray,"80,990","93,990"
Celular Samsung Galaxy S24 5G 256GB SM-S921B Onyx Black,"80,990","93,990"
Celular Samsung Galaxy S24 Plus 5G 256GB SM-S926B Onyx Black,"87,990","104,990"
Celular Samsung Galaxy Z Fold4 256GB SM-F936B Black SO,"99,990","159,990"
Apple Watch Ultra2 Celular 49mm mrep3se/a Blue Alpine,"105,990","105,990"
Celular Samsung Galaxy S24 Plus 5G 512GB SM-S926B Onyx Black,"107,990","114,990"
Celular Samsung Galaxy S24 Ultra 5G 256GB SM-S928B Titanium Black,"112,990","138,990"
Celular Samsung Galaxy S24 Ultra 5G 256GB SM-S928B Titanium Gray,"112,990","138,990"
Apple iPhone 15 Pro 128GB mtv03sx/a Blue Titanium,"113,990","139,990"
Celular Samsung Galaxy Z Flip5 5G 256GB SM-F731B Graphite,"114,990","114,990"
Celular Samsung Galaxy Z Flip6 256GB SM-F741 BLUE,"118,990","118,990"
Celular Samsung Galaxy Z Flip6 256GB SM-F741 Mint,"118,990","118,990"
Celular Samsung Galaxy Z Flip6 256GB SM-F741 Silver Shadow,"118,990","118,990"
Celular Samsung Galaxy S24 Ultra 5G 512GB SM-S928B Titanium Black,"124,990","149,990"
Celular Samsung Galaxy S24 Ultra 5G 512GB SM-S928B Titanium Gray,"124,990","149,990"
Celular Samsung Galaxy Z Flip6 512GB SM-F741C Silver Shadow,"128,990","128,990"
Apple iPhone 15 Pro 256GB mtv63sx/a Blue Titanium,"129,990","154,990"
Apple iPhone 15 Pro Max 256GB mu793sx/a Natural Titanium,"134,990","165,990"
Celular Samsung Galaxy Z Fold5 5G 256GB SM-F946B Beige,"139,990","186,990"
Celular Samsung Galaxy Z Fold5 5G 256GB SM-F946B Icy Blue,"139,990","186,990"
Celular Samsung Galaxy Z Fold5 5G 256GB SM-F946B Phantom Black,"139,990","186,990"
Celular Samsung Galaxy Z Fold5 5G 512GB SM-F946B Icy Blue,"169,990","189,990"
Celular Samsung Galaxy Z Fold5 5G 512GB SM-F946B Phantom Black,"169,990","189,990"
Celular Samsung Galaxy Z Fold6 5G 256GB SM-F956 Pink,"196,990","196,990"
Celular Samsung Galaxy Z Fold6 5G 256GB SM-F956 Silver Shadow,"196,990","196,990"
